user_id,video_id,time_ms,is_click,long_view,is_like,is_hate,is_follow,tab,is_rand,request_id,category,author_id,upload_time_ms
1,101,1650585600000,1,1,1,0,0,1,0,r1,sports,10,1650000000000
1,102,1650585600000,1,0,0,0,0,1,0,r1,sports,11,1650100000000
2,103,1650585660000,1,1,0,0,0,1,0,r2,games,12,1650000000000
2,104,1650585660000,0,0,0,1,0,1,0,r2,news,13,1649900000000
3,105,1650585720000,1,1,1,0,0,2,0,r3,music,14,1650200000000
3,106,1650585720000,1,0,0,0,0,2,0,r3,music,15,1650200000000
4,107,1650585780000,1,1,0,0,0,1,0,r4,food,16,1650300000000
4,108,1650585780000,0,0,0,0,0,1,0,r4,travel,17,1650300000000
5,109,1650585840000,1,1,1,0,1,1,0,r5,games,18,1650350000000
5,110,1650585840000,1,0,0,0,0,1,0,r5,news,19,1650350000000
1,103,1650589200000,1,1,0,0,0,1,0,r6,games,12,1650000000000
1,111,1650589200000,0,0,0,0,0,1,0,r6,food,20,1650400000000
2,101,1650589260000,1,1,1,0,0,1,0,r7,sports,10,1650000000000
2,105,1650589260000,1,0,0,0,0,1,0,r7,music,14,1650200000000
3,107,1650589320000,1,1,0,0,0,2,0,r8,food,16,1650300000000
3,112,1650589320000,0,0,0,1,0,2,0,r8,travel,21,1650450000000
4,109,1650589380000,1,1,1,0,0,1,0,r9,games,18,1650350000000
4,102,1650589380000,1,0,0,0,0,1,0,r9,sports,11,1650100000000
5,105,1650589440000,1,1,0,0,0,1,0,r10,music,14,1650200000000
5,108,1650589440000,0,0,0,0,0,1,0,r10,travel,17,1650300000000
1,107,1650592800000,1,1,1,0,0,1,1,r11,food,16,1650300000000
1,109,1650592800000,1,0,0,0,0,1,0,r11,games,18,1650350000000
2,105,1650592860000,1,1,0,0,0,1,1,r12,music,14,1650200000000
2,110,1650592860000,0,0,0,0,0,1,0,r12,news,19,1650350000000
3,101,1650592920000,1,1,1,0,0,2,1,r13,sports,10,1650000000000
3,104,1650592920000,0,0,0,1,0,2,0,r13,news,13,1649900000000
4,103,1650592980000,1,1,0,0,0,1,1,r14,games,12,1650000000000
4,106,1650592980000,1,0,0,0,0,1,0,r14,music,15,1650200000000
5,107,1650593040000,1,1,1,0,0,1,1,r15,food,16,1650300000000
5,111,1650593040000,0,0,0,0,0,1,0,r15,food,20,1650400000000
1,103,1650593050000,1,1,0,0,0,1,0,r16,games,12,1650000000000
2,105,1650593060000,1,1,0,0,0,1,0,r17,music,14,1650200000000
3,101,1650593070000,1,1,0,0,0,1,0,r18,sports,10,1650000000000
4,103,1650593080000,1,1,0,0,0,1,0,r19,games,12,1650000000000
5,105,1650593090000,1,1,0,0,0,1,0,r20,music,14,1650200000000
