user_id,user_active_degree,is_lowactive_period,is_live_streamer,is_video_author,follow_user_num,follow_user_num_range,fans_user_num,fans_user_num_range,friend_user_num,friend_user_num_range,register_days,register_days_range,onehot_feat0,onehot_feat1,onehot_feat2,onehot_feat3,onehot_feat4,onehot_feat5,onehot_feat6,onehot_feat7,onehot_feat8,onehot_feat9,onehot_feat10,onehot_feat11,onehot_feat12,onehot_feat13,onehot_feat14,onehot_feat15,onehot_feat16,onehot_feat17
12,middle_active,0,-124,1,420,"(250,500]",254,"[100,1k)",229,"[120,250)",1092,730+,0,3,19,648,2.0,0,1,2,399,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
24,middle_active,0,-124,1,266,"(250,500]",454,"[100,1k)",262,250+,1849,730+,0,1,29,920,1.0,0,1,8,181,2,2,0,1.0,0.0,0.0,0.0,0.0,0.0
32,middle_active,0,-124,1,1486,500+,4,"[1,10)",1,"[1,5)",1311,730+,1,1,2,1136,2.0,0,1,21,157,3,0,1,1.0,0.0,1.0,0.0,0.0,0.0
47,full_active,0,-124,1,506,500+,460,"[100,1k)",239,"[120,250)",524,366-730,0,5,19,606,1.0,0,1,5,352,6,2,0,1.0,1.0,0.0,0.0,0.0,0.0
49,high_active,0,-124,1,196,"(150,250]",8,"[1,10)",4,"[1,5)",233,181-365,1,4,11,986,0.0,0,0,31,275,5,0,0,1.0,0.0,1.0,0.0,0.0,0.0
52,full_active,0,-124,0,51,"(50,100]",5,"[1,10)",0,0,1183,730+,1,6,10,114,0.0,0,0,13,188,3,0,0,1.0,0.0,1.0,0.0,0.0,0.0
55,full_active,0,-124,1,71,"(50,100]",75,"[10,100)",45,"[30,60)",191,181-365,0,1,29,1297,1.0,0,1,8,200,5,0,0,1.0,0.0,1.0,0.0,0.0,0.0
62,middle_active,0,-124,1,443,"(250,500]",556,"[100,1k)",443,250+,295,181-365,0,1,29,904,2.0,0,1,18,362,6,3,0,1.0,0.0,0.0,0.0,0.0,0.0
63,low_active,0,-124,1,274,"(250,500]",5,"[1,10)",2,"[1,5)",1744,730+,1,2,29,1302,1.0,0,0,7,40,1,3,0,1.0,0.0,0.0,0.0,0.0,0.0
64,middle_active,0,-124,1,10,"(0,10]",152,"[100,1k)",5,"[5,30)",1014,730+,1,4,29,958,1.0,0,0,15,93,6,4,0,0.0,0.0,0.0,0.0,0.0,0.0
66,full_active,0,1,1,1595,500+,641,"[100,1k)",609,250+,1849,730+,1,5,10,844,1.0,0,0,19,111,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0
75,full_active,0,1,1,150,"(100,150]",266,"[100,1k)",139,"[120,250)",1870,730+,1,4,19,628,1.0,0,1,32,33,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0
