user_id,user_active_degree,is_lowactive_period,is_live_streamer,is_video_author,follow_user_num,follow_user_num_range,fans_user_num,fans_user_num_range,friend_user_num,friend_user_num_range,register_days,register_days_range,onehot_feat0,onehot_feat1,onehot_feat2,onehot_feat3,onehot_feat4,onehot_feat5,onehot_feat6,onehot_feat7,onehot_feat8,onehot_feat9,onehot_feat10,onehot_feat11,onehot_feat12,onehot_feat13,onehot_feat14,onehot_feat15,onehot_feat16,onehot_feat17
24,middle_active,0,-124,1,266,"(250,500]",454,"[100,1k)",262,250+,1849,730+,0,1,29,920,1.0,0,1,8,181,2,2,0,1.0,0.0,0.0,0.0,0.0,0.0
52,full_active,0,-124,0,51,"(50,100]",5,"[1,10)",0,0,1183,730+,1,6,10,114,0.0,0,0,13,188,3,0,0,1.0,0.0,1.0,0.0,0.0,0.0
187,full_active,0,1,1,771,500+,497,"[100,1k)",417,250+,916,730+,1,3,2,1159,3.0,0,0,7,323,1,3,2,1.0,0.0,0.0,0.0,0.0,0.0
244,full_active,0,-124,1,477,"(250,500]",1278,"[1k,5k)",166,"[120,250)",1816,730+,1,4,19,569,1.0,0,0,7,40,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0
269,full_active,0,-124,0,37,"(10,50]",0,0,0,0,307,181-365,1,1,19,595,1.0,0,0,13,392,6,4,0,1.0,0.0,0.0,0.0,0.0,0.0
312,full_active,0,-124,0,180,"(150,250]",16,"[10,100)",3,"[1,5)",2021,730+,0,4,19,646,2.0,0,1,0,417,6,3,0,0.0,0.0,1.0,0.0,0.0,0.0
326,high_active,0,-124,0,11,"(10,50]",3,"[1,10)",0,0,1094,730+,0,3,10,852,4.0,0,0,15,394,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0
403,full_active,0,-124,1,742,500+,33,"[10,100)",27,"[5,30)",1811,730+,1,4,2,1171,5.0,0,0,22,239,1,4,2,1.0,0.0,0.0,0.0,0.0,0.0
423,full_active,0,1,1,970,500+,88,"[10,100)",45,"[30,60)",1435,730+,0,4,2,1171,5.0,0,0,33,234,1,2,2,1.0,1.0,1.0,0.0,0.0,0.0
501,high_active,0,-124,1,718,500+,47,"[10,100)",6,"[5,30)",2256,730+,1,4,28,340,,0,0,24,264,4,2,0,1.0,0.0,0.0,0.0,0.0,0.0
554,full_active,0,-124,1,481,"(250,500]",286,"[100,1k)",204,"[120,250)",1562,730+,0,4,29,947,1.0,0,0,19,387,1,0,0,1.0,0.0,1.0,0.0,0.0,0.0
556,full_active,0,-124,1,0,0,4,"[1,10)",0,0,187,181-365,0,3,2,1159,3.0,0,0,1,82,2,3,2,1.0,0.0,0.0,0.0,0.0,0.0
638,full_active,0,-124,1,175,"(150,250]",135,"[100,1k)",24,"[5,30)",1068,730+,1,6,19,570,0.0,0,1,34,388,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0
658,high_active,0,-124,1,958,500+,94,"[10,100)",92,"[60,120)",812,730+,1,6,29,918,1.0,0,0,31,354,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0
691,high_active,0,-124,1,1715,500+,6,"[1,10)",0,0,762,730+,1,4,19,573,1.0,0,1,44,121,5,3,0,1.0,0.0,0.0,0.0,0.0,0.0
